AUC,PSD,AutoCorr,SampEn
0.040471189335211634,0.9999323530417912,0.9951976218030608,0.31104141138197106
0.03969779931828757,0.9999366851955344,0.9950946462081044,0.32752181071870506
0.03987556442517723,0.9999332715052324,0.9951409379387882,0.32305543752036403
0.040624917021987256,0.9999311044811676,0.9947710689177538,0.3366807385966047
0.039355545586548,0.9999372432033444,0.9948656512502012,0.32095760747139546
0.03930733099387743,0.999936784225662,0.9950131911588128,0.3510782356843035
0.040352260006624265,0.9999328552980702,0.9948364278300956,0.3191032358028408
0.04015213450893088,0.9999406008765273,0.9955005610078792,0.3121728541469239
0.03957831097993017,0.9999332986810824,0.9950127075758533,0.3314176758749625
0.040400614351737335,0.9999372496702228,0.995209072973272,0.3349323782594996
0.04059948207744799,0.9999366134366348,0.9952566743015491,0.3293417282708073
0.039911061545578184,0.9999346273769556,0.9950749804465732,0.3491307486622371
0.040362182430043435,0.9999303969613615,0.9949342659866782,0.3493073474497269
0.04058914039670128,0.9999352916890841,0.9951801355997106,0.33305505420472525
0.039871092347016496,0.999936825442328,0.9951004603831662,0.3319406384524439
0.04013326792919023,0.9999353497483474,0.9950981415751146,0.3530899359835597
0.041141581801995925,0.9999355631201732,0.995091312554826,0.3276990685903351
0.03978123152647403,0.9999372431794054,0.9952765146354374,0.3310523574607368
0.04010685471755335,0.9999337878184472,0.9953168908398001,0.338251913189886
0.040754886793533916,0.9999365836391017,0.995299780803282,0.3420001002438971
0.03977885573495113,0.9999312940094972,0.9946721177935562,0.32446768946050675
0.0400204877080739,0.99993227588625,0.99483566524538,0.3378498061092181
0.0400550065613772,0.999937633105118,0.9953663301792696,0.33742793816113364
0.039882272542418364,0.9999370933031434,0.9954208108078716,0.32478142650124314
0.04032277224125183,0.9999298292123958,0.9950649873182008,0.340681791609243
0.03958208429587831,0.9999365487140244,0.9951394539215702,0.29637340474224066
0.039923220008077714,0.99993379667397,0.9950725827517282,0.3083021773216877
0.0406091249959821,0.9999316261528556,0.994912542384482,0.34246970522333897
0.039478387983525966,0.9999330167601956,0.9949928601509456,0.3149659089062544
0.03954686668036242,0.99993554166682,0.9949688140869168,0.3530498181771987
0.040232771668266866,0.9999323485372978,0.9949961407029432,0.3233608720987293
0.0394113068111148,0.9999324976124752,0.994762345007659,0.3364307264823556
0.039352051775484925,0.9999336933179208,0.9950510563422528,0.3613379824778533
0.040074571903330435,0.9999345931725071,0.9950512332988038,0.3415630271450477
0.03999267697201178,0.9999299217220388,0.9948471904037508,0.3423230607906418
0.03922753234919665,0.9999326068407344,0.9949434954760046,0.3157225485618533
0.03964203809372077,0.9999358137874712,0.9951058630143096,0.3386790242905343
0.04017547316683226,0.9999321988094736,0.9952610847592472,0.3300926296571739
0.03945826363180263,0.999939465356298,0.9953782819209794,0.3185794005858245
0.039814492607794544,0.9999344578697016,0.9952498149721842,0.3481932019193698
0.04045162399325833,0.9999286126388084,0.994783046044016,0.3671276061350584
0.03900546571802707,0.9999310633239558,0.9948343368051568,0.3193233313399467
0.0407403525395115,0.9999349994592815,0.9950281045483702,0.3173751762773265
0.04074706065675263,0.9999321332297616,0.99512331562087,0.32775844745196964
